"PVWatts Hourly PV Performance Data"
"Requested Location","qatar"
"Location","ABU DHABI, UNITED ARAB EMIRATES"
"Latitude (DD)","24.43"
"Longitude (DD)","54.65"
"Elevation (m)","27"
"DC System Size (kW)","8"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"8","4","23","0","0","34","2.6","0.25","0","34","0","0"
"8","5","0","0","0","33","1","0.25","0","33","0","0"
"8","5","1","0","0","32","2.6","0.25","0","32","0","0"
"8","5","2","0","0","31","1.5","0.25","0","31","0","0"
"8","5","3","0","0","32.8","5.7","0.25","0","32.8","0","0"
"8","5","4","0","0","35","5.7","0.25","0","35","0","0"
"8","5","5","0","0","33","4.1","0.25","0","0","0","0"
"8","5","6","0","41","32.7","2.6","0.25","37.23","33.501","214.822","175.501"
"8","5","7","250","139","36","2.1","0.25","198.455","40.688","1192.535","1118.57"
"8","5","8","534","166","38","3.1","0.25","432.848","46.636","2717.752","2589.742"
"8","5","9","676","185","40.2","1.5","0.25","662.369","58.133","3947.168","3775.595"
"8","5","10","762","196","42","4.1","0.25","850.868","56.504","5073.453","4861.972"
"8","5","11","821","187","43","4.6","0.25","967.27","58.381","5694.328","5460.847"
"8","5","12","837","187","44.9","3.6","0.25","1007.074","63.356","5790.199","5553.321"
"8","5","13","818","187","45","2.1","0.25","959.866","67.834","5419.281","5195.545"
"8","5","14","777","172","44","6.7","0.25","830.079","54.337","5002.516","4793.549"
"8","5","15","700","156","43.6","8.2","0.25","640.413","50.515","3950.422","3778.734"
"8","5","16","478","178","43","9.3","0.25","406.032","46.995","2533.53","2412.048"
"8","5","17","204","133","43","7.7","0.25","175.218","44.96","1026.368","958.291"
"8","5","18","0","30","41","8.7","0.25","27.591","41.281","146.836","109.925"
"8","5","19","0","0","41","5.7","0.25","0","0","0","0"
"8","5","20","0","0","40","4.6","0.25","0","40","0","0"
"8","5","21","0","0","40.5","4.6","0.25","0","40.5","0","0"
"8","5","22","0","0","37","3.6","0.25","0","37","0","0"
"8","5","23","0","0","36","3.1","0.25","0","36","0","0"
"8","6","0","0","0","35.8","2.6","0.25","0","35.8","0","0"
"8","6","1","0","0","34","2.6","0.25","0","34","0","0"
"8","6","2","0","0","33","3.1","0.25","0","33","0","0"
"8","6","3","0","0","33.4","3.6","0.25","0","33.4","0","0"
"8","6","4","0","0","32","4.6","0.25","0","32","0","0"
"8","6","5","0","0","31","3.1","0.25","0","0","0","0"
"8","6","6","0","41","32","2.6","0.25","37.203","32.8","215.132","175.801"
"8","6","7","251","138","34","3.1","0.25","198.085","37.904","1204.633","1130.24"
"8","6","8","533","166","37","5.7","0.25","432.918","43.039","2760.315","2630.797"
"8","6","9","678","184","38.2","5.7","0.25","663.699","47.436","4141.364","3962.91"
"8","6","10","762","196","40","5.7","0.25","851.938","51.833","5182.503","4967.158"
"8","6","11","820","187","42","4.6","0.25","967.456","57.384","5720.243","5485.844"
"8","6","12","828","193","43","3.1","0.25","1005.086","62.944","5788.841","5552.011"
"8","6","13","821","185","44","2.6","0.25","961.722","64.814","5504.924","5278.154"
"8","6","14","788","172","44","3.1","0.25","840.045","60.695","4924.593","4718.387"
"8","6","15","683","178","44","5.1","0.25","650.236","53.726","3953.998","3782.184"
"8","6","16","544","147","40","7.7","0.25","411.312","44.657","2596.871","2473.145"
"8","6","17","225","127","39.2","7.2","0.25","175.307","41.255","1039.132","970.603"
"8","6","18","0","29","38.4","7.2","0.25","26.713","38.711","143.174","106.392"
"8","6","19","0","0","37","4.6","0.25","0","0","0","0"
"8","6","20","0","0","37","3.1","0.25","0","37","0","0"
"8","6","21","0","0","35.6","2.1","0.25","0","35.6","0","0"
"8","6","22","0","0","34","0.5","0.25","0","34","0","0"
"8","6","23","0","0","33","3.6","0.25","0","33","0","0"
"8","7","0","0","0","32.8","1.5","0.25","0","32.8","0","0"
"8","7","1","0","0","35","2.6","0.25","0","35","0","0"
"8","7","2","0","0","32.8","1.5","0.25","0","32.8","0","0"
"8","7","3","0","0","31.8","2.1","0.25","0","31.8","0","0"
"8","7","4","0","0","32","2.6","0.25","0","32","0","0"
"8","7","5","0","0","32","4.6","0.25","0","0","0","0"
"8","7","6","0","37","31.8","4.6","0.25","33.848","32.335","194.983","156.365"
"8","7","7","270","124","33","7.2","0.25","191.059","35.24","1167.991","1094.896"
"8","7","8","527","168","34.2","7.7","0.25","432.331","39.097","2802.079","2671.081"
"8","7","9","690","178","35.5","7.2","0.25","667.338","43.413","4235.364","4053.58"
"8","7","10","804","159","38","6.2","0.25","851.314","49.181","5242.867","5025.383"
"8","7","11","877","129","40","4.6","0.25","961.655","55.299","5747.064","5511.714"
"8","7","12","883","135","40.5","3.6","0.25","998.151","58.8","5864.663","5625.146"
"8","7","13","810","191","42","2.6","0.25","957.974","62.732","5534.315","5306.504"
"8","7","14","770","176","43","2.6","0.25","829.293","60.968","4855.347","4651.594"
"8","7","15","628","199","44.2","3.1","0.25","632.6","56.792","3791.297","3625.248"
"8","7","16","400","199","40","6.2","0.25","387.524","45.104","2431.971","2314.088"
"8","7","17","139","131","38","7.2","0.25","156.24","39.839","941.967","876.881"
"8","7","18","0","23","36.7","6.2","0.25","21.299","36.975","113.159","77.441"
"8","7","19","0","0","37","3.1","0.25","0","0","0","0"
"8","7","20","0","0","36","3.1","0.25","0","36","0","0"
"8","7","21","0","0","35.4","2.1","0.25","0","35.4","0","0"
"8","7","22","0","0","35","3.6","0.25","0","35","0","0"
"8","7","23","0","0","36","3.6","0.25","0","36","0","0"
"8","8","0","0","0","35","3.1","0.25","0","35","0","0"
"8","8","1","0","0","35","3.6","0.25","0","35","0","0"
"8","8","2","0","0","34","5.1","0.25","0","34","0","0"
"8","8","3","0","0","32.8","19","0.25","0","32.8","0","0"
"8","8","4","0","0","32","5.7","0.25","0","32","0","0"
"8","8","5","0","0","31","5.7","0.25","0","0","0","0"
"8","8","6","0","38","31","6.2","0.25","34.663","31.452","200.514","161.701"
"8","8","7","243","138","31","8.2","0.25","196.355","33.099","1220.166","1145.223"
"8","8","8","536","165","33","7.7","0.25","434.735","37.925","2832.692","2700.61"
"8","8","9","689","179","33.9","7.2","0.25","668.508","41.827","4270.438","4087.411"
"8","8","10","795","165","37","6.7","0.25","850.455","47.59","5271.597","5053.095"
"8","8","11","872","133","38","5.1","0.25","961.791","52.349","5820.063","5582.126"
"8","8","12","875","141","39.6","3.6","0.25","996.982","57.878","5880.752","5640.666"
"8","8","13","867","135","40.3","3.6","0.25","953.529","57.789","5639.004","5407.483"
"8","8","14","829","132","41","3.6","0.25","833.858","56.312","4990.014","4781.489"
"8","8","15","725","144","40.2","5.1","0.25","647.145","49.884","4006.087","3832.427"
"8","8","16","559","141","40","6.2","0.25","413.199","45.447","2601.607","2477.714"
"8","8","17","232","128","39","6.2","0.25","177.981","41.314","1054.304","985.237"
"8","8","18","0","29","37.6","5.1","0.25","26.618","37.99","141.563","104.839"
"8","8","19","0","0","35","3.6","0.25","0","0","0","0"
"8","8","20","0","0","34","3.6","0.25","0","34","0","0"
"8","8","21","0","0","33.2","3.1","0.25","0","33.2","0","0"
"8","8","22","0","0","32","2.1","0.25","0","32","0","0"
"8","8","23","0","0","31.6","2.1","0.25","0","31.6","0","0"
"8","9","0","0","0","31.3","3.6","0.25","0","31.3","0","0"
"8","9","1","0","0","31","3.6","0.25","0","31","0","0"
"8","9","2","0","0","30","3.6","0.25","0","30","0","0"
"8","9","3","0","0","30.6","3.1","0.25","0","30.6","0","0"
"8","9","4","0","0","31","3.6","0.25","0","31","0","0"
"8","9","5","0","0","31","3.6","0.25","0","0","0","0"
"8","9","6","0","38","32.5","5.1","0.25","34.639","33.013","198.576","159.831"
"8","9","7","222","147","34","5.1","0.25","198.8","36.949","1221.067","1146.091"
"8","9","8","498","189","37","5.1","0.25","438.401","43.571","2788.173","2657.669"
"8","9","9","683","187","40","5.7","0.25","672.854","49.363","4165.349","3986.046"
"8","9","10","775","189","42","6.2","0.25","857.283","53.257","5185.355","4969.909"
"8","9","11","821","187","43","5.1","0.25","971.849","57.493","5743.636","5508.408"
"8","9","12","814","202","42.5","6.2","0.25","1003.209","55.655","5964.335","5721.286"
"8","9","13","801","197","42","7.2","0.25","956.966","53.316","5759.105","5523.329"
"8","9","14","768","183","42","7.2","0.25","835.505","51.891","5087.381","4875.406"
"8","9","15","708","151","40","6.7","0.25","642.529","48.019","4007.799","3834.078"
"8","9","16","539","147","39","5.7","0.25","407.278","44.679","2571.326","2448.505"
"8","9","17","239","123","38","4.6","0.25","175.253","40.76","1037.4","968.932"
"8","9","18","0","28","36.6","3.1","0.25","25.737","37.101","136.268","99.731"
"8","9","19","0","0","35","1.5","0.25","0","0","0","0"
"8","9","20","0","0","33.7","1","0.25","0","33.7","0","0"
"8","9","21","0","0","32.5","0.5","0.25","0","32.5","0","0"
"8","9","22","0","0","32","2.1","0.25","0","32","0","0"
"8","9","23","0","0","31","2.1","0.25","0","31","0","0"
"8","10","0","0","0","30","1","0.25","0","30","0","0"
"8","10","1","0","0","31","1","0.25","0","31","0","0"
"8","10","2","0","0","28","2.6","0.25","0","28","0","0"
"8","10","3","0","0","28.1","3.1","0.25","0","28.1","0","0"
"8","10","4","0","0","30","2.6","0.25","0","30","0","0"
"8","10","5","0","0","30","2.6","0.25","0","0","0","0"
"8","10","6","0","32","29","1.5","0.25","29.541","29.792","170.388","132.642"
"8","10","7","156","140","31","3.1","0.25","173.433","34.431","1079.331","1009.377"
"8","10","8","316","225","35","3.1","0.25","376.718","42.508","2389.125","2272.76"
"8","10","9","382","314","37.8","4.6","0.25","574.996","46.952","3567.777","3409.648"
"8","10","10","506","352","43","5.1","0.25","784.032","54.685","4688.518","4490.677"
"8","10","11","639","321","45","4.1","0.25","931.224","60.843","5406.014","5182.749"
"8","10","12","770","233","46.1","4.6","0.25","995.836","61.925","5756.448","5520.766"
"8","10","13","806","192","46","5.1","0.25","957.818","60.284","5594.151","5364.22"
"8","10","14","767","190","45","5.7","0.25","841.89","56.697","5021.071","4811.446"
"8","10","15","682","177","43.9","5.1","0.25","649.982","53.623","3955.71","3783.835"
"8","10","16","522","160","42","5.7","0.25","411.242","47.733","2562.225","2439.727"
"8","10","17","230","126","41","4.6","0.25","175.587","43.767","1027.664","959.541"
"8","10","18","0","27","39.4","4.6","0.25","24.927","39.789","130.371","94.043"
"8","10","19","0","0","37","4.6","0.25","0","37","0","0"
"8","10","20","0","0","35","3.1","0.25","0","35","0","0"
"8","10","21","0","0","34","1.5","0.25","0","34","0","0"
"8","10","22","0","0","34","0.5","0.25","0","34","0","0"
"8","10","23","0","0","32","1","0.25","0","32","0","0"
"8","11","0","0","0","31.9","0.5","0.25","0","31.9","0","0"
"8","11","1","0","0","32","1.5","0.25","0","32","0","0"
"8","11","2","0","0","31","2.1","0.25","0","31","0","0"
"8","11","3","0","0","29.5","2.1","0.25","0","29.5","0","0"
"8","11","4","0","0","30","1","0.25","0","30","0","0"
"8","11","5","0","0","29","1","0.25","0","0","0","0"
"8","11","6","0","24","28.8","1","0.25","22.221","29.471","126.306","90.122"
"8","11","7","104","135","32","0","0.25","154.377","38.282","947.669","882.38"
"8","11","8","289","240","37","1.5","0.25","377.325","47.227","2343.532","2228.783"
"8","11","9","504","270","39","2.1","0.25","624.491","53.881","3775.849","3610.347"
"8","11","10","638","278","42","2.6","0.25","828.92","59.942","4857.714","4653.877"
"8","11","11","745","248","44","2.6","0.25","964.497","64.863","5509.232","5282.31"
"8","11","12","813","203","42","5.7","0.25","1005.354","55.946","5969.672","5726.434"
"8","11","13","856","142","41","5.1","0.25","952.212","55.207","5694.115","5460.642"
"8","11","14","819","138","41","5.1","0.25","836.386","53.493","5065.621","4854.418"
"8","11","15","715","147","39.5","5.7","0.25","644.037","48.468","4011.139","3837.3"
"8","11","16","536","147","38","6.2","0.25","405.843","43.35","2576.836","2453.82"
"8","11","17","230","122","36","5.7","0.25","171.928","38.363","1028.486","960.335"
"8","11","18","0","26","35","3.6","0.25","24.04","35.432","127.315","91.095"
"8","11","19","0","0","34","2.6","0.25","0","34","0","0"
"8","11","20","0","0","34","2.6","0.25","0","34","0","0"
"8","11","21","0","0","33","2.1","0.25","0","33","0","0"
"8","11","22","0","0","33","2.1","0.25","0","33","0","0"
"8","11","23","0","0","32","1.5","0.25","0","32","0","0"
"8","12","0","0","0","32","3.1","0.25","0","32","0","0"
"8","12","1","0","0","32","4.1","0.25","0","32","0","0"
"8","12","2","0","0","32","3.6","0.25","0","32","0","0"
"8","12","3","0","0","31.4","3.1","0.25","0","31.4","0","0"
"8","12","4","0","0","31","3.6","0.25","0","31","0","0"
"8","12","5","0","0","31","3.1","0.25","0","0","0","0"
"8","12","6","0","36","31.4","3.6","0.25","32.898","31.998","188.166","149.79"
"8","12","7","278","121","34","3.1","0.25","192.039","37.78","1161.373","1088.513"
"8","12","8","505","175","36","3.6","0.25","430.846","43.941","2737.966","2609.24"
"8","12","9","675","184","39.1","4.1","0.25","667.178","50.495","4110.995","3933.617"
"8","12","10","801","161","41","7.2","0.25","856.184","51.137","5230.16","5013.127"
"8","12","11","864","139","41","7.7","0.25","964.282","51.871","5846.551","5607.676"
"8","12","12","867","146","40.7","8.2","0.25","997.99","51.442","6050.744","5804.633"
"8","12","13","862","137","41","7.7","0.25","953.972","51.756","5789.833","5552.968"
"8","12","14","815","139","42","7.2","0.25","834.505","51.884","5089.134","4877.097"
"8","12","15","724","143","41.4","7.2","0.25","646.589","49.073","4018.048","3843.964"
"8","12","16","557","139","41","6.7","0.25","410.42","46.13","2577.144","2454.117"
"8","12","17","234","120","39","7.7","0.25","171.076","40.909","1010.327","942.818"
"8","12","18","0","25","36.8","6.7","0.25","23.162","37.082","121.79","85.766"
"8","12","19","0","0","36","7.2","0.25","0","36","0","0"
"8","12","20","0","0","35","6.7","0.25","0","35","0","0"
"8","12","21","0","0","35.1","8.2","0.25","0","35.1","0","0"
"8","12","22","0","0","34","3.1","0.25","0","34","0","0"
"8","12","23","0","0","36","3.1","0.25","0","36","0","0"
"8","13","0","0","0","35.1","2.1","0.25","0","35.1","0","0"
"8","13","1","0","0","35","2.1","0.25","0","35","0","0"
"8","13","2","0","0","34","1.5","0.25","0","34","0","0"
"8","13","3","0","0","32.2","1","0.25","0","32.2","0","0"
"8","13","4","0","0","31","1","0.25","0","31","0","0"
"8","13","5","0","0","30","2.6","0.25","0","0","0","0"
"8","13","6","0","35","29.6","2.1","0.25","32.035","30.355","184.147","145.913"
"8","13","7","239","136","34","3.1","0.25","194.896","37.845","1188.122","1114.313"
"8","13","8","525","168","37","4.6","0.25","435.258","43.959","2767.952","2638.164"
"8","13","9","684","180","37.8","7.7","0.25","670.744","45.38","4223.542","4042.177"
"8","13","10","786","170","38","8.7","0.25","853.048","46.798","5305.026","5085.339"
"8","13","11","854","146","38","9.8","0.25","962.425","47.061","5952.739","5710.101"
"8","13","12","853","156","37.8","9.8","0.25","994.536","47.16","6137.288","5888.111"
"8","13","13","842","151","37","8.7","0.25","948.969","46.779","5878.65","5638.638"
"8","13","14","796","151","37","7.2","0.25","830.635","46.837","5172.136","4957.159"
